ID,Employees,Admins,Assets,Disclose,Ransomware
178,100.0,1000.0,250.0,1.0,1.0
179,1000.0,1000.0,250.0,1.0,1.0
180,5000.0,1000.0,250.0,1.0,1.0
181,10000.0,1000.0,250.0,1.0,1.0
182,1.0,5000.0,250.0,1.0,1.0
183,10.0,5000.0,250.0,1.0,1.0
184,50.0,5000.0,250.0,1.0,1.0
185,100.0,5000.0,250.0,1.0,1.0
186,1000.0,5000.0,250.0,1.0,1.0
187,5000.0,5000.0,250.0,1.0,1.0
188,10000.0,5000.0,250.0,1.0,1.0
189,1.0,10000.0,250.0,1.0,1.0
190,10.0,10000.0,250.0,1.0,1.0
191,50.0,10000.0,250.0,1.0,1.0
192,100.0,10000.0,250.0,1.0,1.0
193,1000.0,10000.0,250.0,1.0,1.0
194,5000.0,10000.0,250.0,1.0,1.0
195,10000.0,10000.0,250.0,1.0,1.0
196,1.0,1.0,500.0,1.0,1.0
197,10.0,1.0,500.0,1.0,1.0
198,50.0,1.0,500.0,1.0,1.0
199,100.0,1.0,500.0,1.0,1.0
200,1000.0,1.0,500.0,1.0,1.0
201,5000.0,1.0,500.0,1.0,1.0
202,10000.0,1.0,500.0,1.0,1.0
203,1.0,10.0,500.0,1.0,1.0
204,10.0,10.0,500.0,1.0,1.0
205,50.0,10.0,500.0,1.0,1.0
206,100.0,10.0,500.0,1.0,1.0
207,1000.0,10.0,500.0,1.0,1.0
208,5000.0,10.0,500.0,1.0,1.0
209,10000.0,10.0,500.0,1.0,1.0
210,1.0,50.0,500.0,1.0,1.0
211,10.0,50.0,500.0,1.0,1.0
212,50.0,50.0,500.0,1.0,1.0
213,100.0,50.0,500.0,1.0,1.0
214,1000.0,50.0,500.0,1.0,1.0
215,5000.0,50.0,500.0,1.0,1.0
216,10000.0,50.0,500.0,1.0,1.0
217,1.0,100.0,500.0,1.0,1.0
218,10.0,100.0,500.0,1.0,1.0
219,50.0,100.0,500.0,1.0,1.0
220,100.0,100.0,500.0,1.0,1.0
221,1000.0,100.0,500.0,1.0,1.0
222,5000.0,100.0,500.0,1.0,1.0
223,10000.0,100.0,500.0,1.0,1.0
224,1.0,1000.0,500.0,1.0,1.0
225,10.0,1000.0,500.0,1.0,1.0
226,50.0,1000.0,500.0,1.0,1.0
227,100.0,1000.0,500.0,1.0,1.0
228,1000.0,1000.0,500.0,1.0,1.0
229,5000.0,1000.0,500.0,1.0,1.0
230,10000.0,1000.0,500.0,1.0,1.0
231,1.0,5000.0,500.0,1.0,1.0
232,10.0,5000.0,500.0,1.0,1.0
233,50.0,5000.0,500.0,1.0,1.0
234,100.0,5000.0,500.0,1.0,1.0
235,1000.0,5000.0,500.0,1.0,1.0
236,5000.0,5000.0,500.0,1.0,1.0
237,10000.0,5000.0,500.0,1.0,1.0
238,1.0,10000.0,500.0,1.0,1.0
239,10.0,10000.0,500.0,1.0,1.0
240,50.0,10000.0,500.0,1.0,1.0
241,100.0,10000.0,500.0,1.0,1.0
242,1000.0,10000.0,500.0,1.0,1.0
243,5000.0,10000.0,500.0,1.0,1.0
244,10000.0,10000.0,500.0,1.0,1.0
245,1.0,1.0,1000.0,1.0,1.0
246,10.0,1.0,1000.0,1.0,1.0
247,50.0,1.0,1000.0,1.0,1.0
248,100.0,1.0,1000.0,1.0,1.0
249,1000.0,1.0,1000.0,1.0,1.0
250,5000.0,1.0,1000.0,1.0,1.0
